state,x,y
Jammu Kashmir,-124,198
Punjab,-114,137
Himachal Pradesh,-79,154
Uttarakhand,-58,129
Haryana,-97,108
Rajasthan,-147,73
Gujarat,-180,-10
Maharashtra,-119,-68
Goa,-136,-139
Karnataka,-105,-157
Kerala,-99,-224
Tamil Nadu,-67,-212
Andhra Pradesh,-56,-150
Telangana,-60,-94
Odisha,37,-50
Chhattisgarh,-5,-26
Madhya Pradesh,-71,1
Uttar Pradesh,-31,64
Bihar,61,44
Jharkhand,46,6
West Bengal,87,-3
Sikkim,99,78
Delhi,-87,96
Assam,174,54
Arunachal Pradesh,200,89
Nagaland,199,48
Manipur,187,24
Mizoram,170,-1
Tripura,152,7
Meghalaya,152,39
Ladakh,-78,209
Andaman Nicobar,172,-188
