Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
9,mois,month
10,frère,brother
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
22,longtemps,long time
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
37,type,type
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,côté,side
49,pouvoir,power
50,sois,be
51,matin,morning
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
59,devant,in front of
60,vers,towards
61,demandé,request
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,cause,cause
69,espère,hope
70,eau,water
71,attendez,Wait
72,parti,left
73,nouvelle,new
74,boulot,job
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
79,loin,far
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,filles,girls
87,jouer,to play
88,bureau,office
